state	sex	pop2000	age	pop2008
Illinois	M	89600	0	95012
Illinois	M	88445	1	91829
Illinois	M	88729	2	89547
Illinois	M	88868	3	90037
Illinois	M	91947	4	91111
Illinois	M	93894	5	89802
Illinois	M	93676	6	88931
Illinois	M	94818	7	90940
Illinois	M	95035	8	86943
Illinois	M	96436	9	86055
Illinois	M	97280	10	86565
Illinois	M	94029	11	86606
Illinois	M	92402	12	89596
Illinois	M	89926	13	91661
Illinois	M	90717	14	91256
Illinois	M	92178	15	92729
Illinois	M	90587	16	93083
Illinois	M	92782	17	94541
Illinois	M	90997	18	100253
Illinois	M	89629	19	96588
Illinois	M	91040	20	95460
Illinois	M	85176	21	91373
Illinois	M	84372	22	90723
Illinois	M	85529	23	91982
Illinois	M	84549	24	90237
Illinois	M	87630	25	95217
Illinois	M	84205	26	93351
Illinois	M	87481	27	92949
Illinois	M	91586	28	93929
Illinois	M	95226	29	89559
Illinois	M	98572	30	89598
Illinois	M	91469	31	90093
Illinois	M	89813	32	87703
Illinois	M	89694	33	90090
Illinois	M	91474	34	84679
Illinois	M	97796	35	86172
Illinois	M	97688	36	90250
Illinois	M	97664	37	92422
Illinois	M	98705	38	95862
Illinois	M	100103	39	88235
Illinois	M	103045	40	87299
Illinois	M	98235	41	87285
Illinois	M	97946	42	88474
Illinois	M	96490	43	94799
Illinois	M	92713	44	94893
Illinois	M	93817	45	94278
Illinois	M	87706	46	95633
Illinois	M	85685	47	96731
Illinois	M	83445	48	99113
Illinois	M	81182	49	94273
Illinois	M	81005	50	93425
Illinois	M	75942	51	92133
Illinois	M	75896	52	87504
Illinois	M	78933	53	88458
Illinois	M	58953	54	82456
Illinois	M	57885	55	79601
Illinois	M	58143	56	77447
Illinois	M	60590	57	74349
Illinois	M	54120	58	73646
Illinois	M	49046	59	68179
Illinois	M	47509	60	67186
Illinois	M	45588	61	70789
Illinois	M	44604	62	50790
Illinois	M	41700	63	49725
Illinois	M	40316	64	48773
Illinois	M	39696	65	51139
Illinois	M	35784	66	45248
Illinois	M	35251	67	40085
Illinois	M	34729	68	38613
Illinois	M	34914	69	36909
Illinois	M	35307	70	35929
Illinois	M	33112	71	32944
Illinois	M	32673	72	31610
Illinois	M	31381	73	30767
Illinois	M	30103	74	26962
Illinois	M	29050	75	26065
Illinois	M	27274	76	24866
Illinois	M	25325	77	24059
Illinois	M	23794	78	23908
Illinois	M	21932	79	21598
Illinois	M	19729	80	20725
Illinois	M	17222	81	19151
Illinois	M	15811	82	17433
Illinois	M	13553	83	16064
Illinois	M	12073	84	14569
Illinois	M	53719	85	72621
Illinois	F	85910	0	90286
Illinois	F	84396	1	88126
Illinois	F	84764	2	86291
Illinois	F	85598	3	85170
Illinois	F	87729	4	86959
Illinois	F	89085	5	85336
Illinois	F	89608	6	85210
Illinois	F	89876	7	87083
Illinois	F	90982	8	83463
Illinois	F	91913	9	82137
Illinois	F	93569	10	82662
Illinois	F	89694	11	83484
Illinois	F	87574	12	85594
Illinois	F	85843	13	86851
Illinois	F	87057	14	87519
Illinois	F	86835	15	87794
Illinois	F	85249	16	88919
Illinois	F	86930	17	89900
Illinois	F	84902	18	96446
Illinois	F	85953	19	92743
Illinois	F	87124	20	91653
Illinois	F	82416	21	88640
Illinois	F	81888	22	88671
Illinois	F	83219	23	88442
Illinois	F	82301	24	88009
Illinois	F	84817	25	92928
Illinois	F	82888	26	90322
Illinois	F	85594	27	89980
Illinois	F	89682	28	90458
Illinois	F	94496	29	86087
Illinois	F	96361	30	85098
Illinois	F	90025	31	86881
Illinois	F	89414	32	83797
Illinois	F	89087	33	85142
Illinois	F	91233	34	81825
Illinois	F	98151	35	84362
Illinois	F	98588	36	87900
Illinois	F	99155	37	91106
Illinois	F	100045	38	93812
Illinois	F	102074	39	87686
Illinois	F	104762	40	87678
Illinois	F	99919	41	86734
Illinois	F	100474	42	88419
Illinois	F	98601	43	95458
Illinois	F	95485	44	95101
Illinois	F	95859	45	96963
Illinois	F	90902	46	97582
Illinois	F	88623	47	98107
Illinois	F	85539	48	100824
Illinois	F	84865	49	96202
Illinois	F	83791	50	96290
Illinois	F	80154	51	94537
Illinois	F	79736	52	90986
Illinois	F	83261	53	90778
Illinois	F	62200	54	85252
Illinois	F	61540	55	83956
Illinois	F	62191	56	79770
Illinois	F	65588	57	78547
Illinois	F	58373	58	76929
Illinois	F	53406	59	73154
Illinois	F	52517	60	72032
Illinois	F	50588	61	76361
Illinois	F	49457	62	55862
Illinois	F	46140	63	54569
Illinois	F	46040	64	54698
Illinois	F	45501	65	58118
Illinois	F	41990	66	51610
Illinois	F	42327	67	46695
Illinois	F	42526	68	45791
Illinois	F	43328	69	43938
Illinois	F	44539	70	43143
Illinois	F	41731	71	39827
Illinois	F	42175	72	39581
Illinois	F	42123	73	38613
Illinois	F	40681	74	34897
Illinois	F	40986	75	34884
Illinois	F	39676	76	34261
Illinois	F	37514	77	34377
Illinois	F	36875	78	35020
Illinois	F	34777	79	31819
Illinois	F	33171	80	31257
Illinois	F	29900	81	30560
Illinois	F	28488	82	28584
Illinois	F	26257	83	28316
Illinois	F	23947	84	26452
Illinois	F	140079	85	166300
New Jersey	M	56983	0	58756
New Jersey	M	56686	1	57325
New Jersey	M	57011	2	55475
New Jersey	M	57912	3	56059
New Jersey	M	59359	4	58048
New Jersey	M	60392	5	58472
New Jersey	M	60739	6	57080
New Jersey	M	61579	7	56754
New Jersey	M	62089	8	56616
New Jersey	M	63384	9	56322
New Jersey	M	64593	10	56617
New Jersey	M	62494	11	57482
New Jersey	M	60570	12	58834
New Jersey	M	58189	13	59925
New Jersey	M	57931	14	60294
New Jersey	M	56752	15	61056
New Jersey	M	55887	16	61478
New Jersey	M	56712	17	62450
New Jersey	M	53265	18	62809
New Jersey	M	48344	19	55700
New Jersey	M	49564	20	55794
New Jersey	M	48141	21	54769
New Jersey	M	48353	22	55026
New Jersey	M	49130	23	54730
New Jersey	M	48723	24	53471
New Jersey	M	51092	25	56073
New Jersey	M	50357	26	55169
New Jersey	M	52179	27	51964
New Jersey	M	55938	28	52358
New Jersey	M	60638	29	51467
New Jersey	M	64220	30	52596
New Jersey	M	61484	31	54346
New Jersey	M	61927	32	54414
New Jersey	M	63487	33	56786
New Jersey	M	66737	34	56190
New Jersey	M	71274	35	56869
New Jersey	M	71449	36	60652
New Jersey	M	71026	37	64156
New Jersey	M	71811	38	67107
New Jersey	M	72043	39	63562
New Jersey	M	73665	40	63306
New Jersey	M	70514	41	64273
New Jersey	M	69835	42	67210
New Jersey	M	68650	43	71249
New Jersey	M	65564	44	71097
District of Columbia	M	3358	0	4017
District of Columbia	M	3084	1	3977
District of Columbia	M	3357	2	3625
District of Columbia	M	3245	3	3525
District of Columbia	M	3361	4	3456
District of Columbia	M	3360	5	3341
District of Columbia	M	3504	6	2831
District of Columbia	M	3600	7	3156
District of Columbia	M	3600	8	2997
District of Columbia	M	3542	9	2335
District of Columbia	M	3566	10	2878
District of Columbia	M	3119	11	2610
District of Columbia	M	2857	12	2902
District of Columbia	M	2848	13	2793
District of Columbia	M	2746	14	3034
District of Columbia	M	2851	15	3102
District of Columbia	M	2835	16	3300
District of Columbia	M	2887	17	3199
District of Columbia	M	4020	18	4457
District of Columbia	M	5264	19	5406
District of Columbia	M	5016	20	4710
District of Columbia	M	4709	21	4718
District of Columbia	M	4348	22	4622
District of Columbia	M	4399	23	4592
District of Columbia	M	4554	24	5569
District of Columbia	M	4721	25	4931
District of Columbia	M	4609	26	6682
District of Columbia	M	4879	27	5187
District of Columbia	M	4957	28	5772
District of Columbia	M	5377	29	5997
District of Columbia	M	5562	30	4864
District of Columbia	M	4801	31	4871
District of Columbia	M	4652	32	4615
District of Columbia	M	4328	33	4948
District of Columbia	M	4639	34	3829
District of Columbia	M	4915	35	4668
District of Columbia	M	4700	36	4112
District of Columbia	M	4497	37	4267
District of Columbia	M	4247	38	4857
District of Columbia	M	4367	39	4034
District of Columbia	M	4515	40	4176
District of Columbia	M	4081	41	3595
District of Columbia	M	4066	42	3753
District of Columbia	M	3926	43	4175
District of Columbia	M	3759	44	4293
District of Columbia	M	3920	45	3957
District of Columbia	M	3858	46	3935
District of Columbia	M	3750	47	3712
District of Columbia	M	3447	48	3976
District of Columbia	M	3699	49	3679
District of Columbia	M	3677	50	3697
District of Columbia	M	3508	51	3591
District of Columbia	M	3405	52	3350
District of Columbia	M	3449	53	3626
District of Columbia	M	2686	54	3338
District of Columbia	M	2762	55	3383
District of Columbia	M	2626	56	2869
District of Columbia	M	2558	57	3246
District of Columbia	M	2460	58	3144
District of Columbia	M	2283	59	3078
District of Columbia	M	2251	60	2818
District of Columbia	M	2154	61	2944
District of Columbia	M	2055	62	2187
